Crop_Type,Crop_Stage,Season,Temperature_C,Humidity_pct,Disease_Risk_Label
Maize,Vegetative,Rabi,25.6,55.1,Healthy_Low_Risk
Sugarcane,Vegetative,Kharif,34.3,63.3,Healthy_Low_Risk
Cotton,Vegetative,Zaid,34.7,45.1,High_Risk_Whitefly
Rice,Vegetative,Zaid,23.9,46.9,Healthy_Low_Risk
Groundnut,Yielding,Zaid,32.8,63.3,Healthy_Low_Risk
Sugarcane,Vegetative,Rabi,29.3,49.4,Healthy_Low_Risk
Groundnut,Yielding,Zaid,28.5,48.9,Healthy_Low_Risk
Rice,Flowering,Kharif,37.6,87.2,High_Risk_Bacterial_Blight
Cotton,Vegetative,Rabi,36.4,97.5,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,31.6,62.0,Healthy_Low_Risk
Rice,Flowering,Kharif,29.1,75.1,Healthy_Low_Risk
Rice,Flowering,Zaid,32.5,82.5,High_Risk_Bacterial_Blight
Sugarcane,Vegetative,Zaid,37.8,77.6,Healthy_Low_Risk
Maize,Yielding,Rabi,25.0,64.0,Healthy_Low_Risk
Groundnut,Yielding,Zaid,34.0,93.9,High_Risk_Tikka_Disease
Maize,Yielding,Zaid,32.1,46.8,Healthy_Low_Risk
Groundnut,Vegetative,Zaid,23.5,55.1,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,31.9,86.3,High_Risk_Tikka_Disease
Sugarcane,Flowering,Rabi,31.6,77.7,Healthy_Low_Risk
Maize,Vegetative,Kharif,22.9,45.6,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,27.9,86.7,Healthy_Low_Risk
Maize,Vegetative,Kharif,26.3,49.1,Healthy_Low_Risk
Rice,Yielding,Rabi,33.5,58.9,Healthy_Low_Risk
Rice,Flowering,Kharif,27.0,93.4,High_Risk_Rice_Blast
Groundnut,Yielding,Zaid,33.1,62.8,Healthy_Low_Risk
Maize,Flowering,Kharif,34.3,62.8,Healthy_Low_Risk
Rice,Yielding,Zaid,33.9,58.1,Healthy_Low_Risk
Maize,Flowering,Rabi,27.5,51.8,Healthy_Low_Risk
Cotton,Vegetative,Kharif,32.7,55.0,High_Risk_Whitefly
Rice,Yielding,Kharif,28.1,95.0,High_Risk_Rice_Blast
Rice,Vegetative,Zaid,37.7,69.4,Healthy_Low_Risk
Maize,Vegetative,Zaid,23.8,58.7,Healthy_Low_Risk
Cotton,Flowering,Zaid,26.8,65.3,Healthy_Low_Risk
Maize,Flowering,Rabi,35.6,61.9,Healthy_Low_Risk
Rice,Flowering,Zaid,34.5,47.9,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,38.5,96.9,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,31.9,48.7,Healthy_Low_Risk
Maize,Flowering,Zaid,29.1,62.6,Healthy_Low_Risk
Sugarcane,Vegetative,Kharif,26.7,95.1,High_Risk_Red_Rot
Maize,Vegetative,Zaid,39.2,48.7,Healthy_Low_Risk
Rice,Yielding,Kharif,28.3,96.1,High_Risk_Rice_Blast
Cotton,Yielding,Rabi,36.9,58.5,High_Risk_Whitefly
Sugarcane,Vegetative,Zaid,36.1,56.0,Healthy_Low_Risk
Sugarcane,Yielding,Rabi,33.3,40.2,Healthy_Low_Risk
Maize,Flowering,Rabi,27.0,85.3,Healthy_Low_Risk
Maize,Vegetative,Rabi,30.0,72.0,Healthy_Low_Risk
Sugarcane,Vegetative,Zaid,24.9,89.4,Healthy_Low_Risk
Rice,Flowering,Kharif,29.9,43.2,Healthy_Low_Risk
Groundnut,Vegetative,Kharif,31.4,93.8,High_Risk_Tikka_Disease
Maize,Vegetative,Zaid,30.7,66.7,Healthy_Low_Risk
Rice,Vegetative,Zaid,28.8,95.2,High_Risk_Rice_Blast
Maize,Flowering,Rabi,38.4,86.5,Healthy_Low_Risk
Groundnut,Yielding,Zaid,25.4,88.1,Healthy_Low_Risk
Groundnut,Yielding,Rabi,22.1,68.1,Healthy_Low_Risk
Cotton,Yielding,Rabi,39.9,42.8,High_Risk_Whitefly
Rice,Flowering,Zaid,38.5,79.1,Healthy_Low_Risk
Rice,Yielding,Rabi,25.7,67.3,Healthy_Low_Risk
Groundnut,Vegetative,Rabi,29.2,42.8,Healthy_Low_Risk
Sugarcane,Yielding,Kharif,25.5,66.9,Healthy_Low_Risk
Maize,Yielding,Zaid,30.3,74.5,Healthy_Low_Risk
Rice,Flowering,Zaid,22.6,86.2,Healthy_Low_Risk
Rice,Vegetative,Zaid,36.6,44.2,Healthy_Low_Risk
Rice,Flowering,Kharif,30.6,93.4,Healthy_Low_Risk
Rice,Flowering,Kharif,37.6,96.3,High_Risk_Bacterial_Blight
Maize,Flowering,Kharif,31.4,40.8,Healthy_Low_Risk
Maize,Flowering,Zaid,26.3,60.9,Healthy_Low_Risk
Rice,Yielding,Kharif,33.4,82.0,High_Risk_Bacterial_Blight
Cotton,Yielding,Kharif,23.5,48.3,Healthy_Low_Risk
Sugarcane,Flowering,Rabi,34.2,78.6,Healthy_Low_Risk
Cotton,Yielding,Kharif,26.5,48.2,Healthy_Low_Risk
