Temperature_C,Humidity_pct,Wind_Speed_kmh,Spray_Decision,Reason
38.5,91.1,6.0,Not Safe to Spray,High Temp (Evaporation Hazard)
22.0,61.1,22.2,Not Safe to Spray,High Wind (Drift Hazard)
21.5,66.1,6.7,Safe to Spray,Optimal Conditions
36.9,51.2,2.7,Not Safe to Spray,High Temp (Evaporation Hazard)
20.5,64.3,7.6,Safe to Spray,Optimal Conditions
32.4,74.0,23.9,Not Safe to Spray,High Wind (Drift Hazard)
37.5,44.0,15.8,Not Safe to Spray,High Wind (Drift Hazard)
21.2,45.4,12.2,Not Safe to Spray,High Wind (Drift Hazard)
35.3,49.2,2.2,Not Safe to Spray,High Temp (Evaporation Hazard)
36.8,58.0,18.4,Not Safe to Spray,High Wind (Drift Hazard)
29.7,97.1,9.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
31.0,86.8,22.7,Not Safe to Spray,High Wind (Drift Hazard)
30.3,73.7,8.2,Safe to Spray,Optimal Conditions
27.5,91.1,0.4,Not Safe to Spray,"Too humid, risk of runoff/dilution"
33.5,73.2,3.3,Not Safe to Spray,High Temp (Evaporation Hazard)
26.0,94.5,22.6,Not Safe to Spray,High Wind (Drift Hazard)
33.6,73.7,3.1,Not Safe to Spray,High Temp (Evaporation Hazard)
36.6,84.5,15.5,Not Safe to Spray,High Wind (Drift Hazard)
35.8,55.3,3.3,Not Safe to Spray,High Temp (Evaporation Hazard)
22.5,66.8,3.2,Safe to Spray,Optimal Conditions
29.0,71.8,13.6,Not Safe to Spray,High Wind (Drift Hazard)
30.0,40.3,17.1,Not Safe to Spray,High Wind (Drift Hazard)
35.2,78.1,7.6,Not Safe to Spray,High Temp (Evaporation Hazard)
21.7,89.1,11.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
21.5,74.1,23.0,Not Safe to Spray,High Wind (Drift Hazard)
31.8,53.0,16.0,Not Safe to Spray,High Wind (Drift Hazard)
31.9,49.6,20.4,Not Safe to Spray,High Wind (Drift Hazard)
25.2,92.7,4.6,Not Safe to Spray,"Too humid, risk of runoff/dilution"
34.9,46.1,11.0,Not Safe to Spray,High Temp (Evaporation Hazard)
33.5,76.2,12.0,Not Safe to Spray,High Temp (Evaporation Hazard)
28.3,53.9,14.6,Not Safe to Spray,High Wind (Drift Hazard)
33.3,90.7,8.0,Not Safe to Spray,High Temp (Evaporation Hazard)
39.4,41.4,8.3,Not Safe to Spray,High Temp (Evaporation Hazard)
29.7,97.7,7.0,Not Safe to Spray,"Too humid, risk of runoff/dilution"
30.8,66.3,24.7,Not Safe to Spray,High Wind (Drift Hazard)
28.4,66.2,12.1,Not Safe to Spray,High Wind (Drift Hazard)
